TreeID,qSpecies,qLegalStatus,PlantDate,DBH,Latitude,Longitude
120100, Swamp Myrtle,DPW Maintained,,4,37.78558961,-122.4868639
239145, Ornamental Pear Tree 'Chanticleer',DPW Maintained,,4,37.77179673,-122.4231198
202410, Brisbane Box,DPW Maintained,,13,37.78838258,-122.3925036
113138, Olive Tree,DPW Maintained,,1,37.75427133,-122.4778577
200332, Roundleaf sweetgum,DPW Maintained,,2,37.77491091,-122.4032472
13332, Carob,DPW Maintained,,6,37.72094108,-122.4026971
190736, Jacaranda,DPW Maintained,,6,37.76777212,-122.4068376
21698, Laurel Fig,DPW Maintained,,18,37.78639315,-122.4313973
95145, New Zealand Xmas Tree,DPW Maintained,,4,37.78137546,-122.4596769
214907, Swamp Myrtle,DPW Maintained,,7,37.7311353,-122.4688466
126869, Indian Laurel Fig Tree 'Green Gem',Prune Opt Out,,14,37.79081471,-122.4493157
207998, Glossy Privet,DPW Maintained,,9,37.73229551,-122.4441371
230356, Little Gem Magnolia,DPW Maintained,,5,37.73969841,-122.4264403
204003, Blackwood Acacia,DPW Maintained,,11,37.73981349,-122.464396
233766, Olive Tree,DPW Maintained,,18,37.76785227,-122.4322709
193450, Crab Apple,DPW Maintained,,2,37.76229271,-122.4027274
175750, Lemon Bottlebrush,DPW Maintained,,12,37.70922992,-122.4320202
1562, Victorian Box,DPW Maintained,,30,37.78004905,-122.4588994
102619, Laurel Fig,Permitted Site,,12,37.80473794,-122.4097963
237965, Catalina Cherry,DPW Maintained,,1,37.75005094,-122.4404679
102263, Grecian Laurel,DPW Maintained,,5,37.78915741,-122.4373464
215381, Princess Flower,DPW Maintained,,13,37.71828593,-122.4609311
183278, Australian Tea Tree,DPW Maintained,,2,37.76316568,-122.5018945
132378, Tarata,DPW Maintained,,14,37.79352441,-122.41556
13911, London Plane,DPW Maintained,,30,37.78097423,-122.4116357
205636, Birch,DPW Maintained,,2,37.76291746,-122.4543034
129971, Brisbane Box,DPW Maintained,,7,37.78486671,-122.4111954
7073,,DPW Maintained,,18,37.77315247,-122.4452643
237489, Cherry Plum,DPW Maintained,,5,37.75350724,-122.4321583
220966, Lemon Bottlebrush,DPW Maintained,,11,37.74960846,-122.4212829
249765, Dracena Palm,DPW Maintained,,53,37.80366337,-122.4061526
125248, Blackwood Acacia,DPW Maintained,,19,37.7967704,-122.4148391
246559, Lombardy Poplar,DPW Maintained,,6,37.77225887,-122.4236017
130799, Southern Magnolia,DPW Maintained,,7,37.79334342,-122.4363424
214981, Swamp Myrtle,DPW Maintained,,8,37.74205447,-122.4533484
15067, Mexican Fan Palm,DPW Maintained,,3,37.71577905,-122.455694
222826, Silk floss,DPW Maintained,,3,37.74823042,-122.414568
222764, Deodar Cedar,DPW Maintained,,13,37.76169853,-122.4425813
177954, Olive Tree,DPW Maintained,,8,37.71692788,-122.4785584
16032, Silver Dollar Eucalyptus,DPW Maintained,,18,37.73289796,-122.4654148
225353, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,15,37.77194267,-122.4199675
72939, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,5,37.78893169,-122.445781
241653, Swamp Myrtle,DPW Maintained,,3,37.76407346,-122.4227089
191477, Glossy Privet,DPW Maintained,,10,37.78166945,-122.3934997
223451, Bronze Loquat,DPW Maintained,,6,37.76312175,-122.4497318
126903, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,11,37.79018763,-122.4474717
26766, Brisbane Box,DPW Maintained,,8,37.78926544,-122.422703
207171, New Zealand Tea Tree,DPW Maintained,,5,37.73460544,-122.4450477
188262, Lemon Bottlebrush,DPW Maintained,,6,37.73400042,-122.3824893
100547, India Hawthorn,Undocumented,,5,37.7583051,-122.4437352
193602, Cajeput,DPW Maintained,,8,37.75194962,-122.3995894
183038, Olive Tree,DPW Maintained,,3,37.73997035,-122.4777017
192141, Indian Laurel Fig Tree 'Green Gem',DPW Maintained,,13,37.77859678,-122.4105859
141185, New Zealand Xmas Tree,DPW Maintained,,13,37.78268237,-122.4368343
184360, Myoporum,DPW Maintained,,15,37.75981326,-122.5094026
